date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:38	52818/52818	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Oct%202017%2004:25:02%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html	(from )
16:50:39	3309/3309	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2004:02:58%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/favicon.png	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/favicon.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:39	3309/3309	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2004:02:50%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:40	9994/9994	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2004:02:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-72x72.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:41	20254/20254	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2004:02:14%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-114x114.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:42	29062/29062	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Jul%202016%2018:45:48%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:42	1883/1883	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202017%2006:30:34%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/flaticon.css	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/flaticon.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:42	28228/28228	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2004:01:54%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-144x144.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:43	121200/121200	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Jul%202016%2020:53:28%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/bootstrap.min.css	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/bootstrap.min.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
16:50:43	76783/76783	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Dec%202016%2016:51:46%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/animate.css	C:/My%20Web%20Sites/Template%20Beundangan.me/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/animate.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-12.html)
